gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558061463123;gps;43.50033333333334:-96.75338166666667:18.148886:1558061464000:433.1:1.7:18.183077
1558061463262;010D;64.0
1558061463624;010D;65.0
1558061463897;010D;65.0
1558061464135;gps;43.50033499999999:-96.75315166666665:18.55215:1558061465000:433.8:1.7:18.089397
1558061464270;010D;65.0
1558061464558;010D;65.0
1558061464811;010D;65.0
1558061465096;010D;65.0
1558061465100;gps;43.50033833333334:-96.75292666666668:18.151722:1558061466000:434.2:1.7:18.120281
1558061465630;010D;65.0
1558061466070;010D;65.0
1558061466071;gps;43.50033666666666:-96.7527:18.283306:1558061467000:433.7:1.7:18.052853
1558061466333;010D;65.0
1558061466654;010D;65.0
1558061467031;010D;65.0
1558061467165;gps;43.50033666666666:-96.75247166666668:18.416796:1558061468000:433.4:1.7:18.332346
1558061467338;010D;65.0
1558061467606;010D;66.0
1558061468029;010D;66.0
1558061468219;gps;43.50033499999999:-96.75224166666666:18.55215:1558061469000:432.8:1.7:18.3272
1558061468435;010D;66.0
1558061468728;010D;66.0
1558061469021;010D;66.0
1558061469160;gps;43.50033499999999:-96.75201166666666:18.551226:1558061470000:432.4:1.6:18.352936
1558061469271;010D;66.0
1558061469638;010D;66.0
1558061470027;010D;66.0
1558061470228;gps;43.50033499999999:-96.75178166666667:18.551226:1558061471000:431.9:1.6:18.38845
1558061470320;010D;66.0
1558061470689;010D;67.0
1558061471125;010D;66.0
1558061471125;gps;43.50033499999999:-96.75155000000001:18.685656:1558061472000:431.4:1.6:18.44507
1558061471439;010D;66.0
1558061471959;010D;66.0
1558061472236;gps;43.50033333333334:-96.75131666666667:18.820997:1558061473000:430.9:1.6:18.489851
1558061472377;010D;66.0
1558061472669;010D;65.0
1558061472881;010D;65.0
1558061473082;gps;43.50033166666667:-96.75108666666665:18.552153:1558061474000:430.5:1.6:18.158371
1558061473328;010D;64.0
1558061473663;010D;64.0
1558061473929;010D;64.0
1558061474036;gps;43.50033:-96.75086333333333:18.014463:1558061475000:430.1:1.6:18.305067
1558061474177;010D;63.0
1558061474459;010D;63.0
1558061474997;010D;62.0
1558061475225;gps;43.50033:-96.75064499999999:17.610224:1558061476000:429.7:1.6:17.439304
1558061475348;010D;62.0
1558061475603;010D;61.0
1558061475974;010D;61.0
1558061476041;gps;43.50032833333333:-96.75043166666667:17.207933:1558061477000:429.7:1.6:17.090322
1558061476178;010D;60.0
1558061476430;010D;60.0
1558061476680;010D;60.0
1558061477105;010D;59.0
1558061477105;gps;43.50032833333333:-96.75022499999999:16.669218:1558061478000:429.8:1.6:16.543688
1558061477290;010D;59.0
1558061477501;010D;58.0
1558061477843;010D;58.0
1558061478189;010D;57.0
1558061478536;010D;57.0
1558061478697;gps;43.50032666666666:-96.75002500000001:16.132566:1558061479000:430.0:1.6:16.077349
1558061478889;010D;55.0
1558061479197;gps;43.500325000000004:-96.74982999999999:15.729307:1558061480000:430.3:1.6:15.345928
1558061479315;010D;53.0
1558061479656;010D;52.0
1558061479941;010D;51.0
1558061480239;gps;43.500323333333334:-96.74964333333334:15.05721:1558061481000:431.0:1.6:14.243908
1558061480497;010D;49.0
1558061481110;gps;43.50033:-96.74947166666668:13.866036:1558061482000:431.4:1.6:13.261818
1558061481232;010D;46.0
1558061481443;010D;45.0
1558061481771;010D;44.0
1558061482045;010D;44.0
1558061482057;gps;43.500341666666664:-96.74931666666667:12.569039:1558061483000:431.9:1.5:12.396055
1558061482275;010D;44.0
1558061482553;010D;43.0
1558061482807;010D;43.0
1558061483136;010D;43.0
1558061483139;gps;43.50035:-96.74916833333333:12.000024:1558061484000:432.3:1.5:11.824199
1558061483349;010D;42.0
1558061483619;010D;42.0
1558061483826;010D;42.0
1558061484146;010D;41.0
1558061484147;gps;43.500355000000006:-96.74902166666668:11.842821:1558061485000:432.7:1.6:11.483968
1558061484529;010D;41.0
1558061484881;010D;40.0
1558061485195;010D;40.0
1558061485196;gps;43.50035166666667:-96.74887666666667:11.701206:1558061486000:432.1:1.6:11.292491
1558061485565;010D;39.0
1558061485935;010D;39.0
1558061486065;gps;43.50035:-96.74873833333335:11.159157:1558061487000:431.8:1.6:10.962039
1558061486169;010D;38.0
1558061486484;010D;37.0
1558061486678;010D;37.0
1558061487099;010D;36.0
1558061487104;gps;43.50035:-96.74860666666667:10.619902:1558061488000:431.6:1.6:10.317607
1558061487386;010D;35.0
1558061487785;010D;34.0
1558061488098;010D;32.0
1558061488111;gps;43.50035333333334:-96.74848666666666:9.685992:1558061489000:431.8:1.6:9.490448
1558061488417;010D;31.0
1558061488675;010D;28.0
1558061488878;010D;27.0
1558061489049;gps;43.500355000000006:-96.74838166666665:8.471063:1558061490000:431.9:1.6:8.155773
1558061489241;010D;25.0
1558061489484;010D;22.0
1558061489763;010D;21.0
1558061489965;010D;19.0
1558061490215;010D;17.0
1558061490216;gps;43.50036:-96.74830166666668:6.4765058:1558061491000:432.1:1.6:6.1174736
1558061490431;010D;15.0
1558061490868;010D;12.0
1558061491038;gps;43.500366666666665:-96.74824333333332:4.7630587:1558061492000:432.1:1.7:4.5444827
1558061491159;010D;9.0
1558061491369;010D;7.0
1558061491623;010D;5.0
1558061491805;010D;4.0
1558061492092;010D;2.0
1558061492095;gps;43.500375:-96.748225:1.7450632:1558061493000:432.2:1.8:2.42743
1558061492368;010D;1.0
1558061492791;010D;0.0
1558061492975;010D;0.0
1558061493083;gps;43.50037166666666:-96.74822833333334:0.45789295:1558061494000:432.4:1.9:0.0
1558061493196;010D;0.0
1558061493478;010D;0.0
1558061493772;010D;0.0
1558061494028;010D;0.0
1558061494161;gps;43.500370000000004:-96.74823666666667:0.6972265:1558061495000:432.6:1.9:0.0
1558061494304;010D;0.0
1558061494726;010D;0.0
1558061494914;010D;0.0
1558061495120;gps;43.500366666666665:-96.74824500000001:0.7675681:1558061496000:432.8:1.9:0.0
1558061495125;010D;0.0
1558061495341;010D;0.0
1558061495605;010D;0.0
1558061495786;010D;0.0
1558061496045;gps;43.500366666666665:-96.74824500000001:0.0:1558061497000:432.8:1.9:0.0
1558061496047;010D;0.0
1558061496376;010D;0.0
1558061496816;010D;0.0
1558061497230;gps;43.500366666666665:-96.74824500000001:0.0:1558061498000:432.8:1.9:0.0
1558061497384;010D;0.0
1558061498055;gps;43.500366666666665:-96.74824500000001:0.0:1558061499000:432.8:1.9:0.0
1558061498064;010D;0.0
1558061498474;010D;0.0
1558061498841;010D;0.0
1558061499156;gps;43.500366666666665:-96.74824500000001:0.0:1558061500000:432.8:1.2:0.0
1558061499169;010D;0.0
1558061499401;010D;0.0
1558061499636;010D;0.0
1558061499898;010D;0.0
1558061500214;gps;43.500366666666665:-96.74824500000001:0.0:1558061501000:432.8:1.0:0.0
1558061500219;010D;0.0
1558061500579;010D;0.0
1558061500909;010D;0.0
1558061501103;gps;43.500366666666665:-96.74824500000001:0.0:1558061502000:432.8:1.0:0.0
1558061501108;010D;0.0
1558061501657;010D;0.0
1558061501912;010D;0.0
1558061502156;gps;43.500366666666665:-96.74824500000001:0.0:1558061503000:432.8:0.9:0.0
1558061502164;010D;0.0
1558061502468;010D;0.0
1558061502816;010D;0.0
1558061503028;gps;43.500366666666665:-96.74824500000001:0.0:1558061504000:432.8:0.9:0.0
1558061503031;010D;0.0
1558061503279;010D;0.0
1558061503552;010D;0.0
1558061503919;010D;0.0
1558061504044;gps;43.500366666666665:-96.74824500000001:0.0:1558061505000:432.8:0.9:0.0
1558061504200;010D;0.0
1558061504563;010D;0.0
1558061504805;010D;0.0
1558061505027;010D;0.0
1558061505160;gps;43.500366666666665:-96.74824500000001:0.0:1558061506000:432.8:1.0:0.0
1558061505306;010D;0.0
1558061505884;010D;0.0
1558061506124;gps;43.500366666666665:-96.74824500000001:0.0:1558061507000:432.8:0.9:0.0
1558061506131;010D;0.0
1558061506376;010D;0.0
1558061506679;010D;0.0
1558061506925;010D;0.0
1558061507146;gps;43.500366666666665:-96.74824500000001:0.0:1558061508000:432.8:0.9:0.0
1558061507150;010D;0.0
1558061507341;010D;0.0
1558061507580;010D;0.0
1558061507810;010D;0.0
1558061508076;gps;43.500366666666665:-96.74824500000001:0.0:1558061509000:432.8:1.0:0.0
1558061508095;010D;0.0
1558061508410;010D;0.0
1558061508628;010D;0.0
1558061509011;010D;0.0
1558061509304;gps;43.500366666666665:-96.74824500000001:0.0:1558061510000:432.8:0.9:0.0
1558061509459;010D;0.0
1558061509919;010D;0.0
1558061510081;gps;43.500366666666665:-96.74824500000001:0.0:1558061511000:432.8:0.9:0.0
1558061510196;010D;0.0
1558061510473;010D;0.0
1558061510754;010D;0.0
1558061511067;gps;43.500366666666665:-96.74824500000001:0.0:1558061512000:432.8:0.9:0.0
1558061511082;010D;0.0
1558061511280;010D;0.0
1558061511510;010D;0.0
1558061511722;010D;0.0
1558061511984;010D;0.0
1558061512083;gps;43.500366666666665:-96.74824500000001:0.0:1558061513000:432.8:1.0:0.0
1558061512245;010D;0.0
1558061512506;010D;0.0
1558061512725;010D;0.0
1558061513006;010D;0.0
1558061513107;gps;43.500366666666665:-96.74824500000001:0.0:1558061514000:432.8:0.9:0.0
1558061513219;010D;0.0
1558061513484;010D;0.0
1558061513874;010D;0.0
1558061514144;gps;43.500366666666665:-96.74824500000001:0.0:1558061515000:432.8:1.0:0.0
1558061514149;010D;0.0
1558061514384;010D;0.0
1558061514607;010D;0.0
1558061514875;010D;0.0
1558061515129;010D;0.0
1558061515130;gps;43.500366666666665:-96.74824500000001:0.0:1558061516000:432.8:0.9:0.0
1558061515406;010D;0.0
1558061515607;010D;0.0
1558061515941;010D;0.0
1558061516242;gps;43.500366666666665:-96.74824500000001:0.0:1558061517000:432.8:0.9:0.0
1558061516428;010D;0.0
1558061516609;010D;0.0
1558061516887;010D;0.0
1558061517103;gps;43.500366666666665:-96.74824500000001:0.0:1558061518000:432.8:1.0:0.0
1558061517203;010D;0.0
1558061517527;010D;0.0
1558061517720;010D;0.0
1558061517887;010D;0.0
1558061518125;010D;0.0
1558061518125;gps;43.500366666666665:-96.74824500000001:0.0:1558061519000:432.8:1.0:0.0
1558061518366;010D;0.0
1558061518614;010D;0.0
1558061518843;010D;0.0
1558061519170;010D;0.0
1558061519183;gps;43.500366666666665:-96.74824500000001:0.0:1558061520000:432.8:0.9:0.0
1558061519397;010D;0.0
1558061519645;010D;0.0
1558061519876;010D;0.0
1558061520158;010D;0.0
1558061520159;gps;43.500366666666665:-96.74824500000001:0.0:1558061521000:432.8:1.0:0.0
1558061520495;010D;0.0
1558061520924;010D;0.0
1558061521179;010D;0.0
1558061521188;gps;43.500366666666665:-96.74824500000001:0.0:1558061522000:432.8:0.9:0.0
1558061521847;010D;0.0
1558061522107;gps;43.500366666666665:-96.74824500000001:0.0:1558061523000:432.8:1.0:0.0
1558061522112;010D;0.0
1558061522343;010D;0.0
1558061522570;010D;0.0
1558061522837;010D;0.0
1558061523161;gps;43.500366666666665:-96.74824500000001:0.0:1558061524000:432.8:0.9:0.0
1558061523345;010D;0.0
1558061523595;010D;0.0
1558061523909;010D;0.0
1558061524094;gps;43.500366666666665:-96.74824500000001:0.0:1558061525000:432.8:0.9:0.0
1558061524416;010D;0.0
1558061524722;010D;0.0
1558061524987;010D;0.0
1558061525072;gps;43.500366666666665:-96.74824500000001:0.0:1558061526000:432.8:0.9:0.0
1558061525187;010D;0.0
1558061525406;010D;0.0
1558061525656;010D;0.0
1558061525849;010D;0.0
1558061526062;010D;0.0
1558061526162;gps;43.500366666666665:-96.74824500000001:0.0:1558061527000:432.8:0.9:0.0
1558061526261;010D;0.0
1558061526525;010D;0.0
1558061526804;010D;0.0
1558061527063;010D;0.0
1558061527149;gps;43.500366666666665:-96.74824500000001:0.0:1558061528000:432.8:0.9:0.0
1558061527310;010D;0.0
1558061527847;010D;0.0
1558061528020;010D;0.0
1558061528137;gps;43.500366666666665:-96.74824500000001:0.0:1558061529000:432.8:0.9:0.0
1558061528256;010D;0.0
1558061528488;010D;0.0
1558061528716;010D;0.0
1558061528948;010D;0.0
1558061529056;gps;43.500366666666665:-96.74824500000001:0.0:1558061530000:432.8:1.0:0.0
1558061529149;010D;0.0
1558061529337;010D;0.0
1558061529634;010D;0.0
1558061529908;010D;0.0
1558061530209;010D;0.0
1558061530210;gps;43.500366666666665:-96.74824500000001:0.0:1558061531000:432.8:1.0:0.0
1558061530488;010D;0.0
1558061530894;010D;0.0
1558061531083;gps;43.500366666666665:-96.74824500000001:0.0:1558061532000:432.8:0.9:0.0
1558061531254;010D;0.0
1558061531468;010D;0.0
1558061531698;010D;0.0
1558061531919;010D;0.0
1558061532227;010D;0.0
1558061532228;gps;43.500366666666665:-96.74824500000001:0.0:1558061533000:432.8:0.9:0.0
1558061532460;010D;0.0
1558061532759;010D;0.0
1558061532989;010D;0.0
1558061533122;gps;43.500366666666665:-96.74824500000001:0.0:1558061534000:432.8:0.9:0.0
1558061533277;010D;0.0
1558061533728;010D;0.0
1558061534007;010D;0.0
1558061534100;gps;43.500366666666665:-96.74824500000001:0.0:1558061535000:432.8:0.9:0.0
1558061534378;010D;0.0
1558061534607;010D;0.0
1558061534822;010D;0.0
1558061535054;gps;43.500366666666665:-96.74824500000001:0.0:1558061536000:432.8:0.9:0.0
1558061535056;010D;0.0
1558061535313;010D;0.0
1558061535524;010D;0.0
1558061535783;010D;0.0
1558061535985;010D;0.0
1558061536146;gps;43.500366666666665:-96.74824500000001:0.0:1558061537000:432.8:0.9:0.0
