gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558061382641;010D;0.0
1558061383080;010D;0.0
1558061383081;gps;43.500593333333335:-96.76402833333334:0.0:1558061384000:441.9:1.1:0.0
1558061383549;010D;0.0
1558061383905;010D;0.0
1558061384100;gps;43.500593333333335:-96.76402833333334:0.0:1558061385000:441.9:1.2:0.0
1558061384262;010D;0.0
1558061384553;010D;0.0
1558061384807;010D;0.0
1558061385063;010D;0.0
1558061385063;gps;43.500593333333335:-96.76402833333334:0.0:1558061386000:441.9:1.0:0.0
1558061385273;010D;0.0
1558061385464;010D;0.0
1558061385721;010D;0.0
1558061386006;010D;0.0
1558061386135;gps;43.500593333333335:-96.76402833333334:0.0:1558061387000:441.9:1.0:0.0
1558061386328;010D;0.0
1558061386627;010D;0.0
1558061386859;010D;0.0
1558061387125;010D;0.0
1558061387130;gps;43.500593333333335:-96.76402833333334:0.0:1558061388000:441.9:0.9:0.0
1558061387337;010D;0.0
1558061387618;010D;0.0
1558061387890;010D;0.0
1558061388027;gps;43.500593333333335:-96.76402833333334:0.0:1558061389000:441.9:0.9:0.0
1558061388225;010D;0.0
1558061388517;010D;0.0
1558061389086;gps;43.500593333333335:-96.76402833333334:0.0:1558061390000:441.9:0.9:0.0
1558061389102;010D;0.0
1558061389383;010D;0.0
1558061389594;010D;1.0
1558061389899;010D;1.0
1558061390085;gps;43.500593333333335:-96.76402833333334:0.0:1558061391000:441.9:1.1:0.0
1558061390586;010D;6.0
1558061390892;010D;7.0
1558061391049;gps;43.500593333333335:-96.76402833333334:0.0:1558061392000:441.9:1.2:0.0
1558061391186;010D;8.0
1558061391384;010D;8.0
1558061391633;010D;8.0
1558061391940;010D;7.0
1558061392224;gps;43.500593333333335:-96.76402833333334:0.0:1558061393000:441.9:1.3:0.0
1558061392250;010D;7.0
1558061392485;010D;6.0
1558061392855;010D;4.0
1558061393052;gps;43.50062333333334:-96.76403166666665:3.3466647:1558061394000:438.8:1.3:1.2152592
1558061393057;010D;3.0
1558061393358;010D;2.0
1558061393654;010D;1.0
1558061394047;gps;43.50062833333333:-96.76403833333333:0.7734625:1558061395000:438.5:1.4:0.0
1558061394054;010D;0.0
1558061394329;010D;1.0
1558061394560;010D;3.0
1558061395210;gps;43.50062833333333:-96.76403:0.67214257:1558061396000:438.2:1.5:0.0
1558061395227;010D;8.0
1558061395623;010D;13.0
1558061396014;010D;17.0
1558061396335;gps;43.50062:-96.764:2.5910704:1558061397000:438.0:1.6:0.0
1558061396520;010D;20.0
1558061396931;010D;22.0
1558061397115;gps;43.50062166666667:-96.76394833333333:4.1714034:1558061398000:437.7:1.7:4.7843432
1558061397308;010D;24.0
1558061397549;010D;25.0
1558061398189;gps;43.50062166666667:-96.76385666666665:7.3935695:1558061399000:437.4:1.7:7.151551
1558061398195;010D;27.0
1558061398502;010D;28.0
1558061399058;gps;43.50062833333333:-96.76375166666666:8.501378:1558061400000:437.1:1.7:8.015254
1558061399060;010D;29.0
1558061399305;010D;29.0
1558061399666;010D;29.0
1558061399898;010D;28.0
1558061400162;gps;43.500638333333335:-96.763645:8.674984:1558061401000:436.9:1.7:8.219599
1558061400165;010D;28.0
1558061400397;010D;28.0
1558061400638;010D;28.0
1558061400876;010D;28.0
1558061401066;gps;43.500645:-96.76353666666667:8.76924:1558061402000:436.6:1.7:8.011651
1558061401096;010D;27.0
1558061401272;010D;26.0
1558061401665;010D;24.0
1558061401862;010D;22.0
1558061402120;gps;43.50064999999999:-96.76343833333334:7.9507427:1558061403000:436.2:1.7:6.875145
1558061402127;010D;21.0
1558061402498;010D;19.0
1558061402787;010D;16.0
1558061403067;gps;43.50065166666666:-96.76335666666667:6.5896015:1558061404000:435.9:1.7:5.601722
1558061403075;010D;15.0
1558061403283;010D;14.0
1558061403722;010D;13.0
1558061403958;010D;13.0
1558061404129;gps;43.500645:-96.76329833333332:4.7630367:1558061405000:435.6:1.7:4.319549
1558061404283;010D;13.0
1558061404857;010D;13.0
1558061405083;gps;43.50062666666666:-96.76326166666668:3.5919573:1558061406000:435.5:1.8:3.500111
1558061405088;010D;13.0
1558061405392;010D;13.0
1558061405696;010D;13.0
1558061405929;010D;13.0
1558061406167;gps;43.50060333333332:-96.76324333333332:2.9863482:1558061407000:435.7:2.0:2.9673736
1558061406297;010D;13.0
1558061406531;010D;13.0
1558061406819;010D;13.0
1558061406997;010D;13.0
1558061407162;gps;43.50055833333332:-96.76324500000001:5.005577:1558061408000:435.9:2.0:3.8249009
1558061407389;010D;13.0
1558061407683;010D;12.0
1558061407967;010D;11.0
1558061408169;gps;43.500521666666664:-96.76325:4.097044:1558061409000:436.1:2.0:3.5804079
1558061408270;010D;9.0
1558061408580;010D;8.0
1558061408871;010D;5.0
1558061409189;010D;4.0
1558061409190;gps;43.50049333333333:-96.76325999999999:3.2521307:1558061410000:436.3:1.9:2.3847082
1558061409441;010D;3.0
1558061409850;010D;2.0
1558061410130;010D;1.0
1558061410147;gps;43.50048333333334:-96.76326333333333:1.1439911:1558061411000:437.1:1.9:0.0
1558061410678;010D;0.0
1558061410850;010D;0.0
1558061411163;gps;43.50048166666667:-96.76326499999999:0.22894633:1558061412000:437.2:1.9:0.0
1558061411167;010D;0.0
1558061411530;010D;1.0
1558061412175;gps;43.50048:-96.76326833333333:0.32654214:1558061413000:437.2:2.0:0.0
1558061412362;010D;7.0
1558061412718;010D;11.0
1558061413034;gps;43.50048:-96.76326833333333:0.0:1558061414000:437.2:2.0:0.0
1558061413040;010D;12.0
1558061413326;010D;14.0
1558061414103;gps;43.50048:-96.76326833333333:0.0:1558061415000:437.2:2.0:0.0
1558061414115;010D;16.0
1558061414497;010D;17.0
1558061414791;010D;18.0
1558061415159;gps;43.50044166666667:-96.76325166666666:4.4694276:1558061416000:437.6:2.1:3.457389
1558061415164;010D;20.0
1558061415437;010D;22.0
1558061416154;gps;43.500400000000006:-96.76319166666666:6.6997037:1558061417000:437.9:2.0:6.0937963
1558061416173;010D;23.0
1558061416496;010D;28.0
1558061416806;010D;29.0
1558061417153;gps;43.500364999999995:-96.76310833333334:7.7668667:1558061418000:437.9:1.9:7.0027957
1558061417243;010D;32.0
1558061417532;010D;34.0
1558061417916;010D;35.0
1558061418128;gps;43.50035666666666:-96.76298833333334:9.723151:1558061419000:437.9:1.9:9.3489
1558061418149;010D;37.0
1558061418347;010D;39.0
1558061418629;010D;40.0
1558061418951;010D;41.0
1558061419076;gps;43.50035166666667:-96.76284666666668:11.439994:1558061420000:437.4:1.9:11.220429
1558061419280;010D;43.0
1558061419559;010D;44.0
1558061419809;010D;45.0
1558061420196;gps;43.50035:-96.76269499999998:12.234455:1558061421000:436.8:1.8:12.319877
1558061420197;010D;46.0
1558061420778;010D;48.0
1558061421090;gps;43.50035:-96.76252833333335:13.442914:1558061422000:436.2:1.8:13.362189
1558061421101;010D;48.0
1558061421418;010D;49.0
1558061421712;010D;50.0
1558061422098;gps;43.50035333333334:-96.76235333333334:14.119925:1558061423000:435.4:1.8:13.931987
1558061422116;010D;51.0
1558061422323;010D;52.0
1558061422797;010D;53.0
1558061423041;gps;43.50035166666667:-96.76217166666666:14.653947:1558061424000:434.5:1.8:14.71179
1558061423056;010D;53.0
1558061423485;010D;54.0
1558061423839;010D;55.0
1558061424112;gps;43.50035:-96.76198333333332:15.191623:1558061425000:433.8:1.7:15.17607
1558061424129;010D;55.0
1558061424370;010D;55.0
1558061424657;010D;56.0
1558061424960;010D;56.0
1558061425057;gps;43.50034833333334:-96.76179166666667:15.460462:1558061426000:433.1:1.7:15.691307
1558061425261;010D;56.0
1558061425523;010D;57.0
1558061425847;010D;57.0
1558061426063;gps;43.50034666666667:-96.76159166666666:16.13256:1558061427000:432.5:1.7:15.973374
1558061426067;010D;57.0
1558061426390;010D;58.0
1558061426625;010D;58.0
1558061427042;gps;43.500345:-96.76138833333334:16.401403:1558061428000:432.1:1.7:16.23125
1558061427047;010D;58.0
1558061427344;010D;59.0
1558061427629;010D;59.0
1558061427840;010D;59.0
1558061428218;gps;43.50034666666667:-96.76118333333334:16.535824:1558061429000:431.6:1.7:16.504568
1558061428238;010D;59.0
1558061428641;010D;60.0
1558061429046;010D;60.0
1558061429169;gps;43.500345:-96.76097333333334:16.939087:1558061430000:431.2:1.7:16.683176
1558061429381;010D;60.0
1558061429572;010D;61.0
1558061430027;010D;61.0
1558061430168;gps;43.500341666666664:-96.76075999999999:17.210922:1558061431000:430.6:1.7:16.939508
1558061430347;010D;61.0
1558061430649;010D;61.0
1558061430907;010D;61.0
1558061431113;gps;43.50033666666666:-96.76054500000001:17.350271:1558061432000:429.9:1.7:17.215399
1558061431116;010D;62.0
1558061431346;010D;62.0
1558061431738;010D;62.0
1558061431991;010D;62.0
1558061432116;gps;43.50033499999999:-96.76032833333332:17.476774:1558061433000:429.6:1.6:17.233929
1558061432320;010D;63.0
1558061432607;010D;63.0
1558061432883;010D;63.0
1558061433125;gps;43.50033499999999:-96.76010999999998:17.610222:1558061434000:429.4:1.6:17.587029
1558061433140;010D;64.0
1558061433530;010D;64.0
1558061433871;010D;64.0
1558061434108;gps;43.50033499999999:-96.75988666666666:18.01351:1558061435000:429.2:1.6:18.009102
1558061434135;010D;64.0
1558061434450;010D;65.0
1558061434899;010D;65.0
1558061435062;gps;43.50033666666666:-96.75966333333332:18.014462:1558061436000:429.2:1.6:18.139841
1558061435401;010D;65.0
1558061435783;010D;65.0
1558061436122;gps;43.50033666666666:-96.75943666666666:18.282366:1558061437000:429.2:1.6:18.165577
1558061436125;010D;65.0
1558061436505;010D;65.0
1558061436845;010D;66.0
1558061437028;010D;66.0
1558061437177;gps;43.50033666666666:-96.75921166666667:18.147938:1558061438000:429.2:1.6:18.159914
1558061437318;010D;66.0
1558061437796;010D;66.0
1558061438331;gps;43.50033499999999:-96.75898333333335:18.417728:1558061439000:429.9:1.6:18.353966
1558061438335;010D;66.0
1558061438642;010D;66.0
1558061439015;010D;66.0
1558061439202;gps;43.50033166666667:-96.75875333333333:18.554928:1558061440000:430.3:1.6:18.44507
1558061439317;010D;66.0
1558061439548;010D;66.0
1558061439891;010D;66.0
1558061440239;gps;43.50032833333333:-96.758525:18.420527:1558061441000:430.3:1.6:18.424482
1558061440249;010D;66.0
1558061440625;010D;66.0
1558061440978;010D;66.0
1558061441068;gps;43.500325000000004:-96.75829333333334:18.689333:1558061442000:430.5:1.6:18.417791
1558061441169;010D;66.0
1558061441547;010D;66.0
1558061441967;010D;66.0
1558061442137;gps;43.500325000000004:-96.75806666666668:18.28237:1558061443000:430.6:1.6:18.46566
1558061442273;010D;66.0
1558061442529;010D;66.0
1558061442841;010D;66.0
1558061443152;gps;43.500325000000004:-96.75784166666666:18.147942:1558061444000:430.7:1.7:18.17021
1558061443169;010D;66.0
1558061443405;010D;66.0
1558061443736;010D;66.0
1558061443925;010D;66.0
1558061444203;gps;43.500325000000004:-96.75761499999999:18.28237:1558061445000:430.7:1.9:18.316904
1558061444346;010D;66.0
1558061444620;010D;66.0
1558061444847;010D;66.0
1558061445242;gps;43.50032666666666:-96.75738333333332:18.686577:1558061446000:430.8:2.3:18.302492
1558061445245;010D;66.0
1558061445519;010D;66.0
1558061445720;010D;66.0
1558061446183;gps;43.500319999999995:-96.75715:18.83468:1558061447000:430.8:2.9:18.308155
1558061446192;010D;66.0
1558061446417;010D;66.0
1558061446752;010D;66.0
1558061447105;gps;43.50029166666666:-96.75691666666668:19.081972:1558061448000:430.8:3.5:18.325655
1558061447107;010D;66.0
1558061447401;010D;66.0
1558061448100;gps;43.50030833333334:-96.75670999999998:16.77193:1558061449000:430.9:4.1:17.903584
1558061448106;010D;66.0
1558061448447;010D;66.0
1558061448815;010D;66.0
1558061449223;010D;66.0
1558061449706;010D;66.0
1558061450086;gps;43.500323333333334:-96.75622166666666:19.711529:1558061451000:431.0:4.8:18.81567
1558061450117;010D;66.0
1558061450488;010D;66.0
1558061450886;010D;66.0
1558061451205;010D;66.0
1558061451206;gps;43.50031166666666:-96.75610666666668:9.365893:1558061452000:432.2:3.1:19.0195
1558061451417;010D;66.0
1558061451915;010D;66.0
1558061452115;010D;66.0
1558061452119;gps;43.50031833333334:-96.75587666666667:18.566036:1558061453000:432.6:2.7:18.235064
1558061452473;010D;66.0
1558061453034;010D;65.0
1558061453379;gps;43.500321666666665:-96.75563833333332:19.22695:1558061454000:432.6:2.5:18.997368
1558061453515;010D;65.0
1558061453827;010D;65.0
1558061454110;gps;43.500321666666665:-96.75540666666666:18.68566:1558061455000:432.6:2.4:17.958658
1558061454357;010D;65.0
1558061454709;010D;65.0
1558061455079;gps;43.50032833333333:-96.75518333333333:18.028759:1558061456000:432.2:2.2:17.976158
1558061455103;010D;65.0
1558061455602;010D;64.0
1558061456015;010D;64.0
1558061456109;gps;43.50032666666666:-96.75495166666666:18.686577:1558061457000:432.3:2.1:17.960718
1558061456305;010D;64.0
1558061456554;010D;64.0
1558061456941;010D;64.0
1558061457040;gps;43.500325000000004:-96.754725:18.28331:1558061458000:432.5:2.0:17.958143
1558061457167;010D;64.0
1558061457466;010D;64.0
1558061457925;010D;64.0
1558061458167;010D;64.0
1558061458177;gps;43.500323333333334:-96.754495:18.552155:1558061459000:432.7:1.9:17.75946
1558061458417;010D;64.0
1558061458805;010D;64.0
1558061459069;010D;64.0
1558061459070;gps;43.500325000000004:-96.75426833333334:18.28331:1558061460000:433.0:1.8:17.678135
1558061459310;010D;64.0
1558061459739;010D;64.0
1558061459979;010D;64.0
1558061460251;gps;43.500325000000004:-96.75404666666667:17.879082:1558061461000:432.9:1.8:17.747622
1558061460441;010D;64.0
1558061460692;010D;64.0
1558061461039;010D;64.0
1558061461042;gps;43.50032833333333:-96.75382666666668:17.748524:1558061462000:432.7:1.8:17.709019
1558061461226;010D;64.0
1558061461488;010D;65.0
1558061461879;010D;64.0
1558061462132;010D;64.0
1558061462134;gps;43.50033166666667:-96.75360666666666:17.748522:1558061463000:433.0:1.7:17.865494
1558061462504;010D;64.0
1558061462990;010D;64.0
