gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558061013162;010D;8.0
1558061013176;gps;43.50047333333334:-96.76322333333334:3.1960807:1558061014000:442.1:1.8:2.6065533
1558061013551;010D;8.0
1558061013871;010D;8.0
1558061014057;010D;8.0
1558061014156;gps;43.50044666666666:-96.76323499999998:3.11093:1558061015000:441.7:1.8:2.2318356
1558061014291;010D;8.0
1558061014475;010D;8.0
1558061014723;010D;9.0
1558061014990;010D;10.0
1558061015175;gps;43.50043333333333:-96.76324833333335:1.8315711:1558061016000:441.0:1.8:2.0722716
1558061015450;010D;11.0
1558061015711;010D;12.0
1558061015990;010D;13.0
1558061016274;gps;43.50042166666667:-96.76327666666666:2.6278284:1558061017000:440.4:1.8:2.9642854
1558061016463;010D;15.0
1558061017117;gps;43.50041833333333:-96.76332666666667:4.049866:1558061018000:439.9:1.8:4.1846914
1558061017330;010D;20.0
1558061017745;010D;23.0
1558061018179;010D;25.0
1558061018180;gps;43.50041666666666:-96.763395:5.5147033:1558061019000:439.4:1.9:5.460688
1558061018703;010D;27.0
1558061018993;010D;30.0
1558061019123;gps;43.50041666666666:-96.76349499999999:8.06574:1558061020000:439.3:2.0:7.05993
1558061019380;010D;31.0
1558061019620;gps;43.50042499999999:-96.76356333333334:0.0:1558061020000:439.3:1.9:8.380193
1558061019767;010D;33.0
1558061020335;010D;34.0
1558061020337;gps;43.50042666666666:-96.76362833333333:5.246004:1558061021000:439.5:1.8:9.255735
1558061020769;010D;35.0
1558061020777;gps;43.50042666666666:-96.76369333333332:0.0:1558061021000:439.7:1.8:9.825018
1558061021135;010D;37.0
1558061021135;gps;43.50042666666666:-96.76375833333334:5.2427297:1558061022000:439.8:1.7:10.242457
1558061021649;010D;38.0
1558061022067;010D;39.0
1558061022087;gps;43.50042666666666:-96.76389333333333:10.888746:1558061023000:440.1:1.7:10.99807
1558061022441;010D;40.0
1558061022863;010D;41.0
1558061023029;gps;43.50042833333334:-96.76403666666666:11.562376:1558061024000:440.7:1.7:11.538013
1558061023140;010D;41.0
1558061023813;010D;41.0
1558061024122;010D;42.0
1558061024123;gps;43.50042666666666:-96.764185:11.965613:1558061025000:441.1:1.7:11.811331
1558061024372;010D;42.0
1558061024806;010D;42.0
1558061025039;010D;43.0
1558061025239;gps;43.50042666666666:-96.76433666666665:12.233036:1558061026000:441.7:1.7:12.076927
1558061025360;010D;43.0
1558061025671;010D;43.0
1558061025950;010D;43.0
1558061026064;gps;43.50042666666666:-96.76448666666666:12.098607:1558061027000:442.3:1.7:12.08156
1558061026264;010D;43.0
1558061026711;010D;43.0
1558061027147;010D;44.0
1558061027148;gps;43.50042833333334:-96.76463833333334:12.23444:1558061028000:442.6:1.7:12.195828
1558061027408;010D;44.0
1558061027617;010D;44.0
1558061028055;010D;44.0
1558061028057;gps;43.50043000000001:-96.76479166666668:12.368853:1558061029000:442.8:1.8:12.326053
1558061028321;010D;44.0
1558061028515;010D;44.0
1558061028737;010D;44.0
1558061029070;010D;44.0
1558061029073;gps;43.50043000000001:-96.76494499999998:12.367464:1558061030000:443.0:1.8:12.324509
